,stateabbr,statedesc,placename,totalpopulation,access2_crudeprev,arthritis_crudeprev,binge_crudeprev,bphigh_crudeprev,bpmed_crudeprev,cancer_crudeprev,casthma_crudeprev,cervical_crudeprev,chd_crudeprev,checkup_crudeprev,cholscreen_crudeprev,colon_screen_crudeprev,copd_crudeprev,corem_crudeprev,corew_crudeprev,csmoking_crudeprev,dental_crudeprev,depression_crudeprev,diabetes_crudeprev,ghlth_crudeprev,highchol_crudeprev,kidney_crudeprev,lpa_crudeprev,mammouse_crudeprev,mhlth_crudeprev,obesity_crudeprev,phlth_crudeprev,sleep_crudeprev,stroke_crudeprev,teethlost_crudeprev
4598,FL,Florida,Zellwood,2732,20.0,35.5,9.1,45.8,84.9,13.4,7.6,81.8,12.6,81.1,93.3,78.7,11.7,45.4,39.2,12.8,62.4,15.4,14.4,18.5,42.3,4.9,27.0,68.1,11.1,24.6,13.2,27.9,5.4,13.8
4601,FL,Florida,Poinciana,53193,31.7,23.7,13.7,35.7,74.7,5.5,9.0,79.4,6.4,74.9,86.2,71.2,7.2,37.6,33.2,18.5,49.8,17.9,14.0,21.1,32.8,3.4,33.1,78.7,15.5,38.2,12.9,36.2,3.5,15.2
4604,FL,Florida,St. Augustine,12975,17.7,23.4,16.1,33.9,76.3,7.0,9.2,76.7,7.2,76.4,85.2,73.6,8.2,42.8,33.2,16.4,59.0,20.7,10.8,16.1,31.1,3.2,22.6,79.1,16.5,26.4,11.5,31.0,3.5,14.1
4611,FL,Florida,Hudson,12238,19.1,35.9,12.3,41.8,82.8,10.6,8.6,78.4,11.6,78.5,90.0,71.1,12.9,35.6,33.0,21.4,55.1,21.2,15.1,20.7,40.6,4.5,30.0,71.6,14.3,30.8,15.0,32.4,5.2,17.3
4616,FL,Florida,Jasmine Estates,18989,25.3,28.9,15.3,34.8,76.5,7.3,9.6,76.3,8.8,73.7,84.4,66.1,11.7,32.1,29.5,26.7,48.0,24.1,13.0,21.8,34.3,3.8,31.9,71.5,17.9,33.4,15.0,35.8,4.4,21.4
4619,FL,Florida,Fish Hawk,14087,14.5,16.0,19.2,24.1,66.5,4.9,8.1,87.3,3.6,71.8,88.6,73.6,4.4,41.1,40.5,13.6,70.3,17.8,6.5,9.0,27.3,1.9,16.7,78.8,13.9,26.3,7.7,30.4,1.7,7.6
4622,FL,Florida,Edgewood,2511,19.9,22.2,14.3,32.8,74.0,6.7,8.5,82.7,6.6,73.2,88.3,71.9,7.7,43.3,38.5,17.6,58.2,17.8,10.6,15.6,32.2,3.0,23.8,73.6,14.6,28.7,11.1,33.4,3.2,12.9
4624,FL,Florida,Gibsonton,14234,28.5,19.5,17.8,29.8,68.7,4.6,9.5,79.6,5.7,71.2,82.7,66.0,8.2,31.3,30.5,22.7,51.7,20.0,10.0,18.2,28.5,2.7,28.7,75.5,17.9,32.1,12.5,35.0,3.0,20.3
4631,FL,Florida,Pine Manor,3428,39.5,17.7,17.3,28.3,64.7,3.5,9.2,74.6,5.5,69.9,78.7,62.4,7.2,32.1,29.8,23.4,47.1,18.6,11.4,23.9,24.6,3.0,33.5,77.7,18.2,34.7,13.7,35.9,3.2,23.9
4632,FL,Florida,Trenton,1999,25.1,27.1,15.1,37.3,74.7,7.1,10.0,78.4,8.3,76.6,83.7,66.4,10.9,33.7,27.2,23.1,48.2,21.1,12.4,21.9,32.9,3.9,31.9,74.0,17.7,36.7,14.6,37.1,4.6,23.8
4636,FL,Florida,Vernon,687,25.2,31.9,14.0,41.3,77.4,7.1,10.4,76.0,9.5,74.4,83.9,67.0,13.1,32.7,36.8,29.1,46.0,23.7,15.4,25.6,35.7,4.2,33.8,72.3,19.1,38.6,17.3,40.0,5.2,24.1
4637,FL,Florida,Indian Creek,86,15.6,24.0,12.7,33.0,78.9,8.0,7.3,85.3,7.0,78.7,92.1,74.2,5.9,40.3,34.8,10.5,72.2,14.9,11.6,12.9,35.1,3.2,22.9,77.4,11.8,25.1,9.9,30.9,2.9,7.4
4650,FL,Florida,Laurel,8171,14.8,32.3,12.6,38.7,81.9,11.2,7.7,83.4,9.7,79.6,92.6,75.5,9.5,43.9,42.2,14.0,70.0,17.7,11.8,15.1,35.8,3.9,22.7,73.8,12.4,25.1,11.8,31.6,4.3,11.1
4652,FL,Florida,Myrtle Grove,15870,22.5,24.3,15.7,33.0,72.9,6.0,9.1,76.2,6.5,76.2,83.0,70.4,8.3,41.0,34.5,19.6,54.8,21.5,10.2,16.9,30.3,3.0,26.1,74.9,16.9,32.6,11.8,34.8,3.3,16.2
4668,FL,Florida,Live Oak,6850,26.3,25.3,14.3,37.9,74.7,6.6,9.5,80.8,7.2,74.3,85.7,69.9,8.7,34.9,31.7,20.9,47.8,19.0,12.5,19.5,33.2,3.5,30.3,73.2,16.6,36.0,12.8,39.0,4.0,18.8
4673,FL,Florida,Bear Creek,1948,15.2,27.4,15.5,35.7,78.3,8.5,8.3,79.7,7.7,74.7,89.2,73.9,8.0,43.2,44.7,15.7,61.5,17.9,10.4,13.7,36.4,3.3,21.5,75.9,13.8,25.3,10.8,29.8,3.5,11.9
4680,FL,Florida,Cinco Bayou,383,16.2,24.2,16.1,33.7,74.8,7.2,7.9,77.8,6.2,74.4,87.2,75.5,7.1,42.5,40.6,15.6,64.4,18.4,9.6,13.0,32.3,2.8,21.0,71.4,14.0,28.8,9.7,33.1,2.9,11.0
4682,FL,Florida,Merritt Island,34743,16.1,26.2,14.4,34.8,77.6,8.3,8.8,83.1,7.6,77.3,88.7,71.2,8.3,39.5,34.4,15.3,64.6,18.9,11.4,14.6,34.9,3.3,23.5,76.2,14.0,31.5,11.2,31.9,3.5,12.0
4694,FL,Florida,Cottondale,934,25.3,29.2,13.9,41.9,76.2,7.1,10.1,77.9,8.8,77.8,85.5,68.3,11.7,38.0,37.0,24.8,50.8,21.8,15.1,23.2,34.7,3.9,33.4,75.2,18.1,35.1,15.2,39.0,4.6,21.0
4697,FL,Florida,Patrick AFB,1222,23.8,9.1,22.0,17.1,45.3,2.0,9.5,76.9,2.2,67.0,74.1,65.1,3.9,36.7,35.0,18.2,53.6,21.8,4.4,11.7,16.3,1.4,21.6,77.0,19.5,31.6,7.9,35.5,1.3,16.1
4701,FL,Florida,Lake Panasoffkee,3551,22.1,34.3,13.4,44.3,81.4,9.3,9.3,77.4,11.7,78.3,87.1,72.1,14.3,37.7,35.0,24.5,51.6,20.7,15.5,23.3,39.1,4.6,31.1,76.6,16.1,36.8,16.2,33.3,5.5,20.6
4705,FL,Florida,Inglis,1316,21.9,36.7,13.2,43.4,80.6,8.8,9.7,75.1,11.4,78.4,87.1,68.3,14.8,33.7,28.0,25.8,49.6,22.2,16.5,24.8,38.4,4.6,34.3,69.3,16.5,37.5,17.3,33.5,5.5,21.4
4708,FL,Florida,Bradley Junction,686,26.3,28.0,14.3,40.8,77.8,6.5,9.9,77.6,7.7,75.3,85.2,71.6,9.9,33.4,32.5,23.8,47.9,19.8,14.8,22.4,35.7,3.7,32.1,76.9,16.9,38.8,14.3,37.3,4.6,22.2
4712,FL,Florida,Progress Village,5392,23.8,20.8,15.1,35.6,73.8,4.9,9.9,82.4,5.5,76.2,86.5,72.7,6.8,30.7,31.4,19.5,53.7,17.2,12.4,17.7,28.4,3.2,28.0,80.2,16.3,34.8,11.6,37.8,3.6,18.1
4724,FL,Florida,Beacon Square,7224,23.3,31.8,14.3,37.7,78.9,8.4,9.4,76.9,9.9,75.4,86.0,67.2,12.6,33.0,30.5,26.1,48.8,23.3,14.1,22.1,36.4,4.2,32.1,71.3,16.9,33.5,15.5,35.3,4.9,20.6
4733,FL,Florida,DeFuniak Springs,5181,24.3,30.9,13.6,41.3,77.8,8.0,9.8,78.4,8.9,75.4,85.9,69.5,11.4,35.4,32.3,22.6,51.5,20.3,14.3,22.1,34.6,4.0,33.1,73.4,17.1,32.4,14.9,37.8,4.8,20.5
4741,FL,Florida,Buckingham,4036,18.8,23.8,17.9,30.9,73.3,6.6,8.4,82.0,6.4,73.3,87.5,72.8,7.8,42.4,43.0,19.2,66.8,19.1,9.7,14.5,31.7,2.8,22.0,76.8,14.9,27.6,11.2,31.4,2.9,11.9
4748,FL,Florida,West Palm Beach,100033,25.4,21.2,14.4,33.3,74.1,6.1,8.9,80.5,6.6,75.2,86.8,74.2,7.6,39.2,40.2,17.9,59.7,17.2,12.0,17.8,30.2,3.3,27.0,80.0,15.3,28.8,11.7,36.4,3.6,16.2
4756,FL,Florida,Watertown,2871,25.7,32.7,12.4,44.5,78.3,8.0,10.6,77.6,9.5,79.9,86.3,70.6,12.7,32.6,26.2,25.7,43.8,21.6,15.8,25.5,36.4,4.5,36.3,74.8,17.8,36.9,16.7,38.3,5.5,22.7
4763,FL,Florida,Bloomingdale,22711,16.2,20.0,17.7,29.1,72.6,6.0,8.4,84.7,5.1,74.0,88.6,72.8,6.0,39.5,38.0,14.6,67.6,17.8,8.6,11.3,31.0,2.4,19.7,78.2,14.2,27.3,9.3,30.9,2.4,9.5
4766,FL,Florida,Cypress Quarters,1192,27.4,27.5,12.1,42.9,77.1,5.9,10.5,79.1,7.9,77.3,86.7,70.1,9.8,30.6,29.0,25.0,47.0,18.5,16.2,25.0,32.4,4.1,36.7,77.3,17.6,39.5,14.6,39.3,5.2,25.5
4767,FL,Florida,Mount Carmel,227,17.5,29.6,14.8,37.9,75.2,7.8,9.0,79.3,7.5,74.5,88.0,72.2,9.7,51.2,36.6,23.3,58.1,21.1,11.1,16.7,35.7,3.2,29.0,75.2,16.9,31.4,12.9,34.6,3.6,15.7
4768,FL,Florida,Lemon Grove,657,26.2,26.9,15.6,34.0,75.0,6.2,9.5,75.8,7.9,72.3,81.8,67.0,11.7,37.7,28.0,26.5,47.4,22.6,12.3,22.5,34.2,3.5,33.5,72.2,18.3,37.0,15.1,35.4,4.0,22.3
4769,FL,Florida,Sky Lake,6153,35.9,21.8,13.1,34.0,73.1,5.5,9.0,78.7,7.5,72.1,84.7,65.2,8.7,34.4,31.2,20.5,45.0,17.5,14.0,24.2,31.2,3.7,34.2,72.0,16.5,33.5,14.3,36.0,3.9,21.0
4771,FL,Florida,South Pasadena,4971,15.9,41.6,9.0,50.2,86.8,14.2,7.9,79.4,13.5,82.6,93.8,76.9,12.6,41.4,39.9,13.8,59.6,15.7,15.5,19.4,45.0,5.5,28.7,73.5,11.3,24.4,14.3,27.4,6.1,14.8
4773,FL,Florida,Satellite Beach,10102,13.6,23.9,15.1,31.7,76.6,8.3,8.2,85.3,6.6,76.8,89.6,73.7,6.6,43.0,37.8,12.3,70.2,18.1,9.5,11.2,33.6,2.8,19.5,76.9,12.9,28.8,9.2,30.1,2.9,8.8
4778,FL,Florida,Lakewood Park,11323,22.1,29.7,14.0,38.7,77.7,8.7,8.9,80.4,9.1,77.7,87.8,72.4,10.6,34.7,33.1,20.7,56.7,19.7,12.0,19.2,36.1,3.7,30.4,73.2,15.6,32.8,13.5,33.9,4.4,16.4
4783,FL,Florida,Lake Butler,1893,26.7,28.2,15.3,38.4,73.3,5.9,11.0,76.9,7.5,73.6,83.2,67.2,11.5,33.7,30.6,29.1,42.6,23.0,13.4,24.4,33.5,3.6,35.1,75.9,19.6,37.3,15.9,40.5,4.4,25.1
4785,FL,Florida,Belleair,3869,11.7,30.2,13.3,38.1,81.0,10.8,7.6,84.9,8.1,78.1,93.3,77.9,7.3,47.3,47.5,11.8,69.1,16.0,10.4,11.6,39.6,3.5,18.9,76.5,11.2,23.1,9.7,27.1,3.4,8.5
4789,FL,Florida,West DeLand,3522,19.8,24.8,18.0,31.4,72.2,6.4,8.8,80.3,6.3,72.8,86.7,72.7,7.8,47.6,38.5,19.7,56.5,20.8,10.1,15.1,31.8,2.9,24.0,77.4,15.9,32.6,11.2,35.1,3.0,14.1
4795,FL,Florida,Harlem,2658,31.7,26.0,11.5,45.2,77.2,5.0,12.5,78.1,7.5,77.9,86.0,70.0,10.2,27.9,23.0,28.9,39.5,17.8,18.7,29.4,29.0,4.4,39.8,80.4,19.4,43.9,16.5,43.8,6.0,30.4
4803,FL,Florida,West Lealman,15637,22.6,32.6,13.6,41.7,80.1,9.3,8.9,76.9,10.3,75.5,88.2,71.1,11.9,38.2,39.3,21.8,50.9,18.8,13.7,20.5,39.2,4.3,30.0,72.7,15.3,28.3,14.6,32.5,4.9,18.8
4810,FL,Florida,Pittman,180,17.8,34.5,12.4,42.4,79.4,8.6,9.0,79.1,10.0,77.7,89.2,71.4,12.8,47.0,36.6,22.4,54.4,21.2,15.3,21.1,39.1,4.1,29.8,76.5,15.5,38.1,15.1,34.4,4.7,19.4
4818,FL,Florida,Bay Harbor Islands,5628,18.9,20.0,14.4,28.0,74.8,6.7,7.2,85.4,5.5,76.0,89.6,74.2,4.9,39.8,32.7,10.3,70.8,14.9,9.7,12.0,30.1,2.8,22.7,76.6,12.6,24.8,9.0,31.8,2.4,7.9
4821,FL,Florida,Stock Island,3919,31.3,19.1,18.7,29.3,72.0,4.7,8.4,79.7,5.7,70.1,85.0,67.3,6.4,32.3,27.8,19.4,56.9,17.6,11.5,18.3,29.2,2.8,29.0,73.3,15.8,33.6,11.6,37.2,2.8,14.8
4833,FL,Florida,Okahumpka,267,20.9,24.7,16.7,31.8,70.8,6.1,8.8,80.4,6.2,72.5,85.7,73.3,8.4,49.4,40.5,21.7,56.5,21.6,10.3,15.7,31.8,2.7,25.1,77.5,16.6,36.6,11.6,35.3,3.0,14.9
4834,FL,Florida,Winter Park,27855,14.1,21.8,14.3,30.8,76.0,7.9,8.0,84.4,6.4,74.6,89.6,75.8,6.2,47.9,39.6,11.6,67.2,16.8,8.9,11.7,31.6,2.9,18.6,75.3,13.0,24.2,9.0,29.3,2.9,9.6
4839,FL,Florida,Wahneta,5092,45.1,21.5,15.8,31.6,67.6,4.1,9.8,72.1,6.6,68.2,76.5,61.1,10.1,28.8,27.4,27.1,36.1,21.8,12.9,28.9,30.9,3.4,39.5,73.3,19.6,40.8,16.6,36.2,3.7,29.7
4844,FL,Florida,Winter Garden,34721,22.2,18.5,15.4,28.5,69.7,5.3,8.6,83.2,5.3,71.2,86.7,71.0,6.4,40.7,35.6,17.1,57.6,17.8,9.2,14.9,28.0,2.6,23.4,74.0,15.3,28.5,10.2,34.3,2.8,15.5
4859,FL,Florida,Niceville,13179,15.1,24.0,16.3,32.6,74.1,7.0,8.3,81.2,6.0,74.3,87.6,73.6,7.0,43.6,41.8,15.7,65.7,19.5,9.2,12.7,31.9,2.7,20.4,71.3,14.6,29.3,9.8,33.1,2.8,11.5
4861,FL,Florida,San Antonio,1138,16.7,23.2,18.0,27.9,72.5,6.3,8.8,81.9,5.6,72.5,86.9,69.0,7.3,38.2,36.4,20.0,61.3,23.1,8.9,13.1,31.5,2.5,21.7,74.2,16.1,29.8,10.5,33.5,2.6,11.6
4863,FL,Florida,Lake City,11965,23.5,28.3,13.5,40.4,76.0,7.1,10.1,79.2,8.0,79.1,86.5,71.3,9.8,35.1,25.7,21.9,47.8,20.3,13.6,21.3,33.2,3.8,32.1,76.5,17.0,35.3,14.1,37.9,4.6,19.7
4865,FL,Florida,Perry,6999,25.4,28.9,12.4,45.2,77.1,6.8,10.2,77.7,8.4,78.6,85.9,65.9,11.3,32.5,26.0,25.3,45.3,19.9,14.8,24.2,33.1,4.0,35.5,74.1,17.8,38.7,15.3,42.3,5.1,22.1
4872,FL,Florida,Plantation,84958,19.4,20.2,15.1,28.9,73.4,6.2,8.1,84.2,5.4,74.8,88.6,75.2,6.0,34.5,34.4,14.3,65.7,16.9,9.3,13.3,30.8,2.7,22.6,81.2,14.3,27.2,9.5,35.3,2.7,10.8
4873,FL,Florida,Lake Mack-Forest Hills,1010,21.5,30.3,15.0,37.7,75.7,7.8,8.8,78.3,9.0,74.4,86.0,69.9,11.4,49.3,37.4,23.7,52.9,21.7,13.0,19.5,35.7,3.6,29.3,74.2,16.6,36.8,13.9,35.0,4.2,20.8
4875,FL,Florida,Micco,9054,17.0,41.3,8.7,50.7,86.7,13.7,8.6,79.7,14.7,84.0,92.7,73.8,14.9,36.1,31.5,15.8,59.8,17.7,18.0,22.1,44.8,5.6,32.2,73.0,12.2,32.0,16.0,30.0,6.6,16.2
4884,FL,Florida,Bal Harbour,2513,16.8,26.5,12.0,34.4,81.0,9.9,7.1,84.5,7.9,79.5,91.5,77.5,6.6,42.0,32.8,9.6,72.2,14.4,11.0,13.2,34.9,3.6,23.7,74.4,11.4,22.2,9.9,29.3,3.4,9.0
4893,FL,Florida,East Milton,11068,27.0,22.8,17.6,35.6,66.0,5.0,9.1,76.8,6.1,70.5,81.5,67.8,8.8,46.2,36.5,28.8,46.6,20.1,10.5,19.3,30.3,2.8,32.0,74.3,18.6,35.0,12.9,39.2,3.2,18.8
4898,FL,Florida,Altha,518,20.1,24.7,17.0,32.3,72.3,6.6,9.5,79.2,6.7,72.9,84.9,71.8,8.7,37.5,37.4,20.1,55.7,21.5,9.7,16.2,34.2,2.8,25.3,73.4,17.3,33.8,11.6,35.5,3.1,15.3
4899,FL,Florida,Briny Breezes,601,10.9,38.2,6.7,49.1,88.1,16.3,6.8,84.4,13.4,86.5,96.3,84.6,10.7,48.3,48.7,7.9,75.6,13.2,14.9,14.5,45.6,5.3,22.5,73.7,8.2,19.8,11.5,24.4,5.3,9.4
4900,FL,Florida,Flagler Estates,3215,23.4,24.3,17.2,35.6,72.7,5.7,10.0,76.6,7.3,73.7,83.2,67.2,10.8,36.6,31.5,26.6,48.5,23.4,12.0,20.9,31.9,3.2,27.8,76.3,19.1,31.9,14.6,35.3,3.8,20.4
4906,FL,Florida,Indian Rocks Beach,4113,13.8,27.7,15.5,36.3,77.7,8.4,8.2,83.1,7.4,74.9,90.8,74.4,7.9,43.4,46.7,16.1,62.8,18.0,10.6,13.3,37.6,3.2,20.6,76.3,13.4,26.7,10.8,30.2,3.3,10.2
4912,FL,Florida,Panama City Beach,12070,17.1,22.9,17.3,30.2,72.5,6.7,8.5,80.1,6.0,73.6,86.7,74.5,6.9,47.1,38.3,17.5,62.5,20.8,9.1,12.7,31.1,2.5,23.1,75.0,15.3,27.4,10.2,31.9,2.7,11.3
4913,FL,Florida,Verona Walk,1782,17.8,32.5,12.5,38.9,82.5,10.0,8.6,80.2,10.0,77.5,90.4,74.1,11.6,46.6,39.1,17.7,62.2,17.9,13.9,18.3,41.0,4.1,27.4,72.9,13.4,27.3,13.5,30.7,4.5,13.1
4916,FL,Florida,Cape Canaveral,9911,16.0,27.2,14.2,36.2,78.6,8.6,8.6,82.4,8.3,77.5,88.8,71.9,8.8,39.0,35.3,15.3,64.0,18.8,11.9,14.9,36.0,3.4,23.6,76.2,13.7,31.7,11.5,31.5,3.6,11.6
4920,FL,Florida,La Crosse,357,20.2,25.7,14.9,36.2,77.4,6.9,9.3,79.9,7.4,73.8,88.4,72.4,8.6,41.6,31.4,17.5,57.0,18.6,12.8,17.2,34.0,3.4,26.4,76.6,15.4,32.9,12.3,32.7,3.9,15.7
4923,FL,Florida,Timber Pines,5386,13.6,48.0,5.0,56.5,90.4,17.9,6.9,79.5,16.4,87.9,96.4,83.3,13.7,46.4,37.8,9.9,64.1,13.8,17.5,19.5,47.5,6.2,30.9,66.2,8.7,27.2,14.5,25.1,6.9,13.4
4930,FL,Florida,Holly Hill,11661,23.3,31.2,15.2,39.1,76.1,7.5,9.9,76.4,9.4,75.4,85.8,67.3,12.0,41.2,30.6,25.3,45.8,21.6,14.0,23.0,34.9,4.2,32.2,76.2,17.4,36.6,15.6,37.3,4.8,23.2
4932,FL,Florida,Homestead Base,964,39.0,17.7,13.0,33.8,61.3,2.3,13.6,63.7,6.4,75.9,70.3,49.9,11.2,19.9,13.0,31.9,29.0,22.3,14.5,37.3,22.9,4.0,47.8,75.4,26.9,39.4,20.3,46.6,4.4,40.0
4935,FL,Florida,Garden Grove,674,20.5,35.2,12.4,43.4,82.5,9.7,8.7,78.0,11.0,77.7,88.4,71.7,13.1,40.5,34.0,21.9,52.5,19.9,14.8,21.0,39.2,4.5,31.0,70.8,14.9,36.0,15.5,33.0,5.2,18.4
4938,FL,Florida,Ridgecrest,2558,23.9,24.5,14.1,40.4,75.9,5.5,10.4,81.7,5.9,77.1,88.2,74.0,7.2,33.6,39.2,21.4,48.9,17.0,13.9,19.3,30.8,3.4,29.1,79.6,16.8,35.4,12.1,40.7,4.1,19.1
4946,FL,Florida,Mangonia Park,1888,31.7,20.7,12.8,38.4,71.1,4.1,11.7,77.1,6.0,77.8,84.3,72.1,8.8,28.4,33.8,26.5,44.9,18.2,14.6,25.2,26.3,3.6,35.6,82.7,19.7,37.6,14.5,46.1,4.6,29.1
4947,FL,Florida,Mount Plymouth,4011,17.5,23.5,17.0,30.4,70.8,6.3,8.3,82.5,5.6,73.0,87.3,73.2,7.1,53.0,43.4,18.3,62.2,20.5,9.4,13.0,31.2,2.5,22.2,76.8,15.5,34.5,10.1,34.2,2.6,13.1
4949,FL,Florida,Beverly Hills,8445,25.5,38.5,12.1,48.3,83.1,10.4,10.0,72.8,13.8,78.9,86.6,69.1,17.1,37.3,29.5,25.5,44.0,22.4,16.8,28.0,42.1,5.7,38.8,67.4,16.8,34.6,19.1,38.3,6.9,26.9
4952,FL,Florida,Ellenton,4275,26.0,24.9,15.0,32.5,76.6,7.6,8.2,80.4,7.5,75.6,86.7,73.2,8.2,37.1,39.7,16.4,60.3,18.1,10.7,15.6,32.0,3.2,25.2,72.8,14.5,30.2,11.4,33.0,3.5,15.0
4956,FL,Florida,Cloud Lake,135,25.3,23.1,15.0,32.9,74.3,6.6,8.8,80.5,7.1,73.9,87.0,72.3,9.1,34.4,40.0,20.6,60.7,19.2,11.5,17.9,33.1,3.2,27.5,77.5,15.8,27.7,12.7,34.9,3.4,16.5
4957,FL,Florida,Bradenton Beach,1171,14.6,32.7,11.9,40.4,82.8,10.9,8.0,82.3,9.9,80.8,92.2,77.0,9.7,39.7,43.9,14.1,67.6,17.4,13.0,15.0,39.9,3.9,22.4,74.1,11.9,28.3,12.1,29.8,4.2,11.3
4993,FL,Florida,Melbourne,76271,19.7,25.8,14.5,34.9,76.9,7.5,9.3,80.2,7.9,76.5,85.9,69.1,9.3,35.9,30.7,17.7,58.4,19.7,12.1,17.3,33.2,3.5,27.0,76.0,15.5,33.1,12.4,33.7,3.9,15.8
4994,FL,Florida,Brookridge,4420,18.9,41.0,9.2,48.9,86.5,13.2,8.0,79.8,13.2,82.1,92.5,78.1,13.5,43.2,35.3,16.6,58.2,17.5,16.0,20.3,43.0,5.2,31.3,68.2,12.3,32.2,15.1,29.9,6.0,15.9
5002,FL,Florida,Fort Pierce,41782,32.0,27.1,13.2,40.6,75.7,6.4,10.4,77.9,8.5,77.9,84.7,68.8,11.1,29.3,28.6,24.9,44.9,19.4,15.2,26.8,32.5,4.2,38.1,75.8,18.1,40.2,15.9,39.4,5.3,24.3
5029,FL,Florida,Jacksonville Beach,21362,13.6,20.8,19.2,27.5,71.0,6.2,8.1,84.8,4.9,72.1,87.7,74.6,5.2,53.3,44.5,12.6,69.2,18.8,7.5,9.8,29.8,2.2,18.3,77.2,13.8,27.7,8.0,28.9,2.2,8.4
5049,FL,Florida,World Golf Village,12310,15.4,19.2,18.2,28.5,71.0,6.2,8.0,83.6,5.1,73.8,88.1,77.1,5.6,47.1,39.1,14.6,66.3,19.3,7.8,10.8,29.1,2.3,17.3,79.6,14.3,24.8,8.6,30.4,2.3,9.3
5057,FL,Florida,Delray Beach,60578,20.7,24.6,13.3,36.1,77.5,8.0,8.6,81.9,7.8,77.4,89.1,76.3,8.2,42.3,41.5,16.1,64.2,16.6,12.0,16.4,33.1,3.6,25.0,79.7,13.9,26.6,11.5,34.3,4.0,14.2
5062,FL,Florida,Aucilla,100,25.2,31.5,12.3,42.8,78.3,8.0,10.4,77.9,9.6,77.3,87.5,73.8,12.8,37.2,38.6,25.3,48.5,20.1,15.1,24.6,37.2,4.4,33.0,78.6,17.0,36.9,16.1,37.0,5.3,21.1
5076,FL,Florida,Grove City,1804,16.1,35.9,11.5,44.5,83.0,11.2,8.5,80.3,11.5,79.2,91.4,75.1,12.2,43.1,48.0,17.4,63.3,18.3,13.5,18.6,42.5,4.5,28.4,78.1,13.1,28.9,14.3,30.2,5.0,14.2
5079,FL,Florida,Webster,785,32.6,26.4,14.4,39.5,75.3,5.8,10.5,77.5,8.1,76.0,83.2,67.8,11.2,33.8,30.9,26.6,43.6,20.7,15.4,26.2,32.0,4.0,34.6,78.1,18.8,42.3,15.9,38.6,4.8,25.7
5083,FL,Florida,Lantana,10917,25.6,22.8,14.7,33.8,74.0,6.6,8.9,80.0,7.3,74.5,86.4,70.6,8.8,38.8,37.3,20.3,58.7,18.1,11.5,18.2,31.6,3.4,27.9,78.4,15.8,28.2,12.6,36.2,3.7,18.1
5096,FL,Florida,Davenport,2890,23.9,27.9,13.5,37.2,78.6,8.3,8.4,81.1,8.1,76.0,88.3,74.8,8.4,42.3,37.1,15.9,58.1,18.0,12.3,17.3,36.5,3.6,26.6,76.8,14.0,33.8,12.1,31.5,3.9,13.8
5108,FL,Florida,North Port,57362,19.9,25.1,16.5,31.5,75.2,7.4,8.4,82.1,7.0,74.2,87.9,72.5,8.4,40.5,40.0,18.7,64.2,20.2,9.9,15.4,29.9,3.1,23.6,73.7,15.7,27.5,11.5,35.5,3.4,13.8
5112,FL,Florida,Chattahoochee,3648,28.7,28.3,14.4,45.3,76.8,6.0,10.1,78.4,9.1,78.1,85.5,69.1,11.9,37.3,30.2,29.3,43.5,18.8,17.5,27.4,34.5,4.2,38.2,77.7,17.4,44.3,16.8,40.0,5.4,25.6
5113,FL,Florida,Navarre,31378,17.8,21.6,17.3,30.5,68.4,5.5,8.7,80.1,5.0,71.5,85.9,71.8,6.5,52.0,41.8,20.2,60.1,20.1,8.5,12.9,29.9,2.3,24.6,76.1,16.9,30.3,10.0,35.1,2.4,12.1
5119,FL,Florida,Arcadia,7638,35.8,25.7,13.9,36.5,73.9,5.4,10.4,76.4,8.1,73.4,81.2,64.4,11.6,30.7,27.6,26.4,41.5,19.7,15.2,28.0,32.0,4.1,41.3,77.9,18.7,43.0,16.9,37.0,5.0,30.2
5124,FL,Florida,Loughman,2680,23.5,20.9,16.8,30.0,70.4,5.0,9.0,79.2,5.3,71.5,83.8,70.6,6.9,38.5,37.0,18.8,54.6,20.2,9.9,16.2,30.6,2.6,25.2,77.8,16.4,35.4,11.3,33.8,2.7,14.5
5126,FL,Florida,Greenwood,686,23.7,30.3,13.4,43.1,76.9,7.3,10.5,78.7,9.0,78.8,86.2,68.7,11.9,38.1,35.2,24.6,51.0,21.9,15.6,23.8,34.9,4.1,33.5,76.6,18.1,35.6,15.6,39.3,5.0,21.6
5128,FL,Florida,Wildwood,6835,17.6,31.5,12.4,42.5,82.0,10.0,8.4,82.2,9.6,80.8,91.4,79.5,9.7,44.0,40.4,15.6,63.4,17.2,13.6,16.8,38.3,3.9,24.2,80.3,12.9,33.6,12.1,31.1,4.3,12.5
5133,FL,Florida,Goulding,4086,37.1,32.7,12.3,52.1,77.3,5.6,10.6,75.5,10.8,79.1,82.5,61.0,14.5,26.5,22.3,35.5,30.9,19.4,22.3,37.4,35.0,5.6,44.8,78.8,18.1,50.0,21.4,45.2,7.7,38.2
5136,FL,Florida,Fuller Heights,8756,21.7,21.7,17.0,30.2,71.8,5.8,8.4,81.1,5.4,71.8,85.8,72.9,6.5,42.1,38.2,18.2,58.9,19.5,9.1,14.0,31.7,2.5,23.6,77.2,15.4,33.2,10.3,33.1,2.6,12.9
