,stateabbr,statedesc,placename,totalpopulation,access2_crudeprev,arthritis_crudeprev,binge_crudeprev,bphigh_crudeprev,bpmed_crudeprev,cancer_crudeprev,casthma_crudeprev,cervical_crudeprev,chd_crudeprev,checkup_crudeprev,cholscreen_crudeprev,colon_screen_crudeprev,copd_crudeprev,corem_crudeprev,corew_crudeprev,csmoking_crudeprev,dental_crudeprev,depression_crudeprev,diabetes_crudeprev,ghlth_crudeprev,highchol_crudeprev,kidney_crudeprev,lpa_crudeprev,mammouse_crudeprev,mhlth_crudeprev,obesity_crudeprev,phlth_crudeprev,sleep_crudeprev,stroke_crudeprev,teethlost_crudeprev
4274,FL,Florida,Horizon West,14000,16.8,13.1,17.9,21.3,61.9,4.0,7.8,84.7,3.2,68.2,86.6,72.8,3.8,45.2,42.9,13.4,64.5,17.4,6.1,9.3,23.8,1.7,17.0,75.9,14.4,25.3,7.1,32.3,1.6,7.6
4275,FL,Florida,Holden Heights,3565,22.9,23.4,13.5,35.9,75.7,7.0,8.5,82.4,7.3,74.7,88.9,72.1,7.9,42.5,36.9,17.7,56.2,16.5,12.1,17.4,32.9,3.3,26.2,72.8,14.3,30.0,11.7,34.9,3.7,14.8
4279,FL,Florida,St. Augustine Shores,7359,16.0,28.7,14.2,38.8,80.2,9.5,8.4,80.6,8.8,78.7,89.9,76.1,9.1,45.4,35.3,15.3,63.0,19.3,11.9,15.5,36.1,3.7,22.5,77.6,14.0,25.8,11.8,29.7,3.9,12.4
4286,FL,Florida,Manasota Key,1229,13.9,42.0,8.1,51.2,87.2,14.5,7.7,80.3,13.9,84.0,94.8,79.7,12.8,45.2,50.6,13.6,66.9,15.8,15.3,18.5,46.9,5.2,29.4,76.1,10.5,26.9,14.1,27.5,5.8,12.3
4287,FL,Florida,Duck Key,621,17.5,27.3,15.9,37.0,79.6,8.4,8.5,81.9,8.6,76.1,89.9,73.7,9.1,41.2,33.8,17.1,64.1,17.6,12.0,15.8,35.2,3.6,24.1,72.0,13.8,31.5,11.9,34.6,3.8,12.3
4292,FL,Florida,South Daytona,12252,21.1,28.9,16.1,36.0,75.1,7.4,9.4,78.0,8.1,74.8,86.4,71.2,10.1,45.2,35.8,22.4,51.5,21.4,12.0,18.9,34.2,3.5,28.1,76.2,16.6,34.0,13.4,35.9,3.9,17.7
4297,FL,Florida,Yalaha,1364,15.0,31.7,12.7,39.7,79.7,9.5,8.0,81.9,8.7,78.8,91.3,76.4,9.1,54.1,44.1,15.6,64.2,18.3,13.0,15.0,38.0,3.5,24.1,77.1,13.1,33.9,11.4,32.1,3.8,12.9
4298,FL,Florida,Pompano Beach,99845,26.3,24.8,13.6,35.6,76.0,7.1,8.9,81.3,7.7,76.1,87.0,72.5,9.1,32.1,30.7,19.8,55.8,17.5,12.4,20.0,33.6,3.7,30.0,79.6,15.8,30.8,13.0,37.8,4.2,16.1
4301,FL,Florida,Sunset,16389,29.5,19.7,13.4,29.3,75.7,5.7,7.2,81.5,6.0,75.6,88.0,70.9,4.9,33.0,29.0,11.2,63.7,14.1,13.0,17.3,31.2,3.2,30.3,75.8,13.2,27.3,10.8,32.8,2.7,10.0
4305,FL,Florida,Jensen Beach,12129,16.1,28.9,14.5,34.3,80.1,9.2,8.4,82.0,8.2,76.1,90.0,74.5,8.6,47.4,36.8,16.0,67.3,17.1,10.7,14.5,35.9,3.5,22.4,75.3,13.2,27.3,11.4,32.3,3.7,11.1
4309,FL,Florida,Pine Lakes,862,23.7,28.7,15.5,36.2,73.2,6.3,9.7,76.0,8.1,72.9,83.2,66.0,12.3,44.2,36.8,28.0,47.4,23.7,13.0,22.0,33.9,3.4,31.8,75.1,18.9,39.7,15.3,37.0,4.0,23.9
